tranche_horaire,ref,libelle_gare_montee,flux_enquete,flux_normalized
de 00:00:00 à 00:59:59,PR/0087-381848-BV,Argenteuil,6.91,0.191776798825257
de 00:00:00 à 00:59:59,PR/0087-381137-BV,Asnières sur Seine,8.6,0.24140969162995596
de 00:00:00 à 00:59:59,PR/0087-381079-BV,Bois Colombes,12.9,0.3676945668135096
de 00:00:00 à 00:59:59,PR/0087-381475-00,Chanteloup les Vignes,3.5,0.09162995594713658
de 00:00:00 à 00:59:59,PR/0087-381087-00,Colombes,9.36,0.2637298091042584
de 00:00:00 à 00:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,1.36,0.028781204111600595
de 00:00:00 à 00:59:59,PR/0087-381897-BV,Conflans Ste Honorine,3.09,0.07958883994126285
de 00:00:00 à 00:59:59,PR/0087-381863-00,Cormeilles en Parisis,4.99,0.1353891336270191
de 00:00:00 à 00:59:59,PR/0087-534131-BV,Ermont Eaubonne,7.8,0.21791483113069016
de 00:00:00 à 00:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,3.74,0.09867841409691631
de 00:00:00 à 00:59:59,PR/0087-381095-00,Le Stade,6.75,0.18707782672540382
de 00:00:00 à 00:59:59,PR/0087-381798-00,Le Val d'Argenteuil,14.92,0.4270190895741557
de 00:00:00 à 00:59:59,PR/0087-386680-BV,Les Mureaux,11.06,0.31365638766519827
de 00:00:00 à 00:59:59,PR/0087-381590-00,Mantes Station,0.38,0.0
de 00:00:00 à 00:59:59,PR/0087-381509-BV,Mantes la Jolie,2.74,0.06930983847283409
de 00:00:00 à 00:59:59,PR/0087-381830-BV,Meulan Hardricourt,1.12,0.021732745961820857
de 00:00:00 à 00:59:59,PR/0087-384008-00,Paris St Lazare,34.43,1.0000000000000002
de 00:00:00 à 00:59:59,PR/0087-386573-BV,Poissy,4.64,0.1251101321585903
de 00:00:00 à 00:59:59,PR/0087-276139-BV,Pontoise,4.22,0.11277533039647578
de 00:00:00 à 00:59:59,PR/0087-276188-00,Sannois,2.43,0.06020558002936858
de 00:00:00 à 00:59:59,PR/0087-381418-BV,Éragny Neuville,0.87,0.014390602055800296
de 01:00:00 à 01:59:59,PR/0087-381848-BV,Argenteuil,6.91,0.191776798825257
de 01:00:00 à 01:59:59,PR/0087-381137-BV,Asnières sur Seine,8.6,0.24140969162995596
de 01:00:00 à 01:59:59,PR/0087-381079-BV,Bois Colombes,12.9,0.3676945668135096
de 01:00:00 à 01:59:59,PR/0087-381475-00,Chanteloup les Vignes,3.5,0.09162995594713658
de 01:00:00 à 01:59:59,PR/0087-381087-00,Colombes,9.36,0.2637298091042584
de 01:00:00 à 01:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,1.36,0.028781204111600595
de 01:00:00 à 01:59:59,PR/0087-381897-BV,Conflans Ste Honorine,3.09,0.07958883994126285
de 01:00:00 à 01:59:59,PR/0087-381863-00,Cormeilles en Parisis,4.99,0.1353891336270191
de 01:00:00 à 01:59:59,PR/0087-534131-BV,Ermont Eaubonne,7.8,0.21791483113069016
de 01:00:00 à 01:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,3.74,0.09867841409691631
de 01:00:00 à 01:59:59,PR/0087-381095-00,Le Stade,6.75,0.18707782672540382
de 01:00:00 à 01:59:59,PR/0087-381798-00,Le Val d'Argenteuil,14.92,0.4270190895741557
de 01:00:00 à 01:59:59,PR/0087-386680-BV,Les Mureaux,11.06,0.31365638766519827
de 01:00:00 à 01:59:59,PR/0087-381590-00,Mantes Station,0.38,0.0
de 01:00:00 à 01:59:59,PR/0087-381509-BV,Mantes la Jolie,2.74,0.06930983847283409
de 01:00:00 à 01:59:59,PR/0087-381830-BV,Meulan Hardricourt,1.12,0.021732745961820857
de 01:00:00 à 01:59:59,PR/0087-384008-00,Paris St Lazare,34.43,1.0000000000000002
de 01:00:00 à 01:59:59,PR/0087-386573-BV,Poissy,4.64,0.1251101321585903
de 01:00:00 à 01:59:59,PR/0087-276139-BV,Pontoise,4.22,0.11277533039647578
de 01:00:00 à 01:59:59,PR/0087-276188-00,Sannois,2.43,0.06020558002936858
de 01:00:00 à 01:59:59,PR/0087-381418-BV,Éragny Neuville,0.87,0.014390602055800296
de 02:00:00 à 02:59:59,PR/0087-381848-BV,Argenteuil,6.91,0.191776798825257
de 02:00:00 à 02:59:59,PR/0087-381137-BV,Asnières sur Seine,8.6,0.24140969162995596
de 02:00:00 à 02:59:59,PR/0087-381079-BV,Bois Colombes,12.9,0.3676945668135096
de 02:00:00 à 02:59:59,PR/0087-381475-00,Chanteloup les Vignes,3.5,0.09162995594713658
de 02:00:00 à 02:59:59,PR/0087-381087-00,Colombes,9.36,0.2637298091042584
de 02:00:00 à 02:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,1.36,0.028781204111600595
de 02:00:00 à 02:59:59,PR/0087-381897-BV,Conflans Ste Honorine,3.09,0.07958883994126285
de 02:00:00 à 02:59:59,PR/0087-381863-00,Cormeilles en Parisis,4.99,0.1353891336270191
de 02:00:00 à 02:59:59,PR/0087-534131-BV,Ermont Eaubonne,7.8,0.21791483113069016
de 02:00:00 à 02:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,3.74,0.09867841409691631
de 02:00:00 à 02:59:59,PR/0087-381095-00,Le Stade,6.75,0.18707782672540382
de 02:00:00 à 02:59:59,PR/0087-381798-00,Le Val d'Argenteuil,14.92,0.4270190895741557
de 02:00:00 à 02:59:59,PR/0087-386680-BV,Les Mureaux,11.06,0.31365638766519827
de 02:00:00 à 02:59:59,PR/0087-381590-00,Mantes Station,0.38,0.0
de 02:00:00 à 02:59:59,PR/0087-381509-BV,Mantes la Jolie,2.74,0.06930983847283409
de 02:00:00 à 02:59:59,PR/0087-381830-BV,Meulan Hardricourt,1.12,0.021732745961820857
de 02:00:00 à 02:59:59,PR/0087-384008-00,Paris St Lazare,34.43,1.0000000000000002
de 02:00:00 à 02:59:59,PR/0087-386573-BV,Poissy,4.64,0.1251101321585903
de 02:00:00 à 02:59:59,PR/0087-276139-BV,Pontoise,4.22,0.11277533039647578
de 02:00:00 à 02:59:59,PR/0087-276188-00,Sannois,2.43,0.06020558002936858
de 02:00:00 à 02:59:59,PR/0087-381418-BV,Éragny Neuville,0.87,0.014390602055800296
de 04:00:00 à 04:59:59,PR/0087-381848-BV,Argenteuil,40.94,0.47695247193694773
de 04:00:00 à 04:59:59,PR/0087-381137-BV,Asnières sur Seine,19.22,0.21757821829472176
de 04:00:00 à 04:59:59,PR/0087-386730-00,Aubergenville Élisabethville,12.59,0.13840458562216384
de 04:00:00 à 04:59:59,PR/0087-381079-BV,Bois Colombes,41.34,0.48172916169094826
de 04:00:00 à 04:59:59,PR/0087-381152-00,Boissy l'Aillerie,3.89,0.034511583472653456
de 04:00:00 à 04:59:59,PR/0087-381475-00,Chanteloup les Vignes,14.28,0.15858609983281588
de 04:00:00 à 04:59:59,PR/0087-381194-BV,Chars,1.0,0.0
de 04:00:00 à 04:59:59,PR/0087-381228-BV,Chaumont en Vexin,9.0,0.09553379508000956
de 04:00:00 à 04:59:59,PR/0087-381087-00,Colombes,80.18,0.9455457368043947
de 04:00:00 à 04:59:59,PR/0087-381897-BV,Conflans Ste Honorine,14.73,0.1639598758060664
de 04:00:00 à 04:59:59,PR/0087-381863-00,Cormeilles en Parisis,14.5,0.16121327919751613
de 04:00:00 à 04:59:59,PR/0087-534131-BV,Ermont Eaubonne,17.82,0.2008598041557201
de 04:00:00 à 04:59:59,PR/0087-381566-00,Gargenville,4.5,0.04179603534750419
de 04:00:00 à 04:59:59,PR/0087-381244-00,Gisors,25.9,0.29734893718652977
de 04:00:00 à 04:59:59,PR/0087-381889-00,Herblay,21.42,0.24385001194172445
de 04:00:00 à 04:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,16.0,0.17912586577501793
de 04:00:00 à 04:59:59,PR/0087-381574-00,Issou Porcheville,3.75,0.032839742058753285
de 04:00:00 à 04:59:59,PR/0087-381558-00,Juziers,3.89,0.034511583472653456
de 04:00:00 à 04:59:59,PR/0087-381871-00,La Frette Montigny,9.38,0.10007165034631002
de 04:00:00 à 04:59:59,PR/0087-381095-00,Le Stade,34.16,0.3959875806066396
de 04:00:00 à 04:59:59,PR/0087-381798-00,Le Val d'Argenteuil,84.74,1.0
de 04:00:00 à 04:59:59,PR/0087-386664-00,Les Clairières de Verneuil,6.0,0.059708621925005964
de 04:00:00 à 04:59:59,PR/0087-386680-BV,Les Mureaux,35.4,0.4107953188440411
de 04:00:00 à 04:59:59,PR/0087-381582-BV,Limay,4.88,0.046333890613804635
de 04:00:00 à 04:59:59,PR/0087-381590-00,Mantes Station,3.03,0.024241700501552426
de 04:00:00 à 04:59:59,PR/0087-381509-BV,Mantes la Jolie,12.2,0.13374731311201338
de 04:00:00 à 04:59:59,PR/0087-381830-BV,Meulan Hardricourt,3.84,0.0339144972534034
de 04:00:00 à 04:59:59,PR/0087-381145-00,Osny,3.25,0.02686887986625269
de 04:00:00 à 04:59:59,PR/0087-384008-00,Paris St Lazare,6.34,0.06376880821590637
de 04:00:00 à 04:59:59,PR/0087-386573-BV,Poissy,51.0,0.5970862192500598
de 04:00:00 à 04:59:59,PR/0087-276139-BV,Pontoise,6.67,0.06770957726295677
de 04:00:00 à 04:59:59,PR/0087-276188-00,Sannois,20.93,0.2379985669930738
de 04:00:00 à 04:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,6.5,0.06567948411750657
de 04:00:00 à 04:59:59,PR/0087-381822-00,Thun le Paradis,2.67,0.01994267972295199
de 04:00:00 à 04:59:59,PR/0087-381236-00,Trie Château,5.0,0.04776689754000478
de 04:00:00 à 04:59:59,PR/0087-381806-00,Triel sur Seine,9.0,0.09553379508000956
de 04:00:00 à 04:59:59,PR/0087-381178-00,Us,1.5,0.005970862192500596
de 04:00:00 à 04:59:59,PR/0087-381814-00,Vaux sur Seine,2.63,0.019465010747551945
de 04:00:00 à 04:59:59,PR/0087-386656-BV,Vernouillet Verneuil,10.75,0.11643181275376165
de 04:00:00 à 04:59:59,PR/0087-386649-00,Villennes sur Seine,2.5,0.017912586577501794
de 04:00:00 à 04:59:59,PR/0087-386763-BV,Épône Mézières,8.78,0.09290661571530928
de 04:00:00 à 04:59:59,PR/0087-381418-BV,Éragny Neuville,15.5,0.17315500358251734
de 05:00:00 à 05:59:59,PR/0087-381848-BV,Argenteuil,40.94,0.47695247193694773
de 05:00:00 à 05:59:59,PR/0087-381137-BV,Asnières sur Seine,19.22,0.21757821829472176
de 05:00:00 à 05:59:59,PR/0087-386730-00,Aubergenville Élisabethville,12.59,0.13840458562216384
de 05:00:00 à 05:59:59,PR/0087-381079-BV,Bois Colombes,41.34,0.48172916169094826
de 05:00:00 à 05:59:59,PR/0087-381152-00,Boissy l'Aillerie,3.89,0.034511583472653456
de 05:00:00 à 05:59:59,PR/0087-381475-00,Chanteloup les Vignes,14.28,0.15858609983281588
de 05:00:00 à 05:59:59,PR/0087-381194-BV,Chars,1.0,0.0
de 05:00:00 à 05:59:59,PR/0087-381228-BV,Chaumont en Vexin,9.0,0.09553379508000956
de 05:00:00 à 05:59:59,PR/0087-381087-00,Colombes,80.18,0.9455457368043947
de 05:00:00 à 05:59:59,PR/0087-381897-BV,Conflans Ste Honorine,14.73,0.1639598758060664
de 05:00:00 à 05:59:59,PR/0087-381863-00,Cormeilles en Parisis,14.5,0.16121327919751613
de 05:00:00 à 05:59:59,PR/0087-534131-BV,Ermont Eaubonne,17.82,0.2008598041557201
de 05:00:00 à 05:59:59,PR/0087-381566-00,Gargenville,4.5,0.04179603534750419
de 05:00:00 à 05:59:59,PR/0087-381244-00,Gisors,25.9,0.29734893718652977
de 05:00:00 à 05:59:59,PR/0087-381889-00,Herblay,21.42,0.24385001194172445
de 05:00:00 à 05:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,16.0,0.17912586577501793
de 05:00:00 à 05:59:59,PR/0087-381574-00,Issou Porcheville,3.75,0.032839742058753285
de 05:00:00 à 05:59:59,PR/0087-381558-00,Juziers,3.89,0.034511583472653456
de 05:00:00 à 05:59:59,PR/0087-381871-00,La Frette Montigny,9.38,0.10007165034631002
de 05:00:00 à 05:59:59,PR/0087-381095-00,Le Stade,34.16,0.3959875806066396
de 05:00:00 à 05:59:59,PR/0087-381798-00,Le Val d'Argenteuil,84.74,1.0
de 05:00:00 à 05:59:59,PR/0087-386664-00,Les Clairières de Verneuil,6.0,0.059708621925005964
de 05:00:00 à 05:59:59,PR/0087-386680-BV,Les Mureaux,35.4,0.4107953188440411
de 05:00:00 à 05:59:59,PR/0087-381582-BV,Limay,4.88,0.046333890613804635
de 05:00:00 à 05:59:59,PR/0087-381590-00,Mantes Station,3.03,0.024241700501552426
de 05:00:00 à 05:59:59,PR/0087-381509-BV,Mantes la Jolie,12.2,0.13374731311201338
de 05:00:00 à 05:59:59,PR/0087-381830-BV,Meulan Hardricourt,3.84,0.0339144972534034
de 05:00:00 à 05:59:59,PR/0087-381145-00,Osny,3.25,0.02686887986625269
de 05:00:00 à 05:59:59,PR/0087-384008-00,Paris St Lazare,6.34,0.06376880821590637
de 05:00:00 à 05:59:59,PR/0087-386573-BV,Poissy,51.0,0.5970862192500598
de 05:00:00 à 05:59:59,PR/0087-276139-BV,Pontoise,6.67,0.06770957726295677
de 05:00:00 à 05:59:59,PR/0087-276188-00,Sannois,20.93,0.2379985669930738
de 05:00:00 à 05:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,6.5,0.06567948411750657
de 05:00:00 à 05:59:59,PR/0087-381822-00,Thun le Paradis,2.67,0.01994267972295199
de 05:00:00 à 05:59:59,PR/0087-381236-00,Trie Château,5.0,0.04776689754000478
de 05:00:00 à 05:59:59,PR/0087-381806-00,Triel sur Seine,9.0,0.09553379508000956
de 05:00:00 à 05:59:59,PR/0087-381178-00,Us,1.5,0.005970862192500596
de 05:00:00 à 05:59:59,PR/0087-381814-00,Vaux sur Seine,2.63,0.019465010747551945
de 05:00:00 à 05:59:59,PR/0087-386656-BV,Vernouillet Verneuil,10.75,0.11643181275376165
de 05:00:00 à 05:59:59,PR/0087-386649-00,Villennes sur Seine,2.5,0.017912586577501794
de 05:00:00 à 05:59:59,PR/0087-386763-BV,Épône Mézières,8.78,0.09290661571530928
de 05:00:00 à 05:59:59,PR/0087-381418-BV,Éragny Neuville,15.5,0.17315500358251734
de 06:00:00 à 06:59:59,PR/0087-381491-00,Andrésy,15.34,0.07828408244350632
de 06:00:00 à 06:59:59,PR/0087-381848-BV,Argenteuil,136.23,0.8287807300720138
de 06:00:00 à 06:59:59,PR/0087-381137-BV,Asnières sur Seine,121.44,0.736962999751676
de 06:00:00 à 06:59:59,PR/0087-386730-00,Aubergenville Élisabethville,31.16,0.17649615098087904
de 06:00:00 à 06:59:59,PR/0087-381079-BV,Bois Colombes,159.08,0.9706357089644897
de 06:00:00 à 06:59:59,PR/0087-381152-00,Boissy l'Aillerie,11.48,0.054320834368015894
de 06:00:00 à 06:59:59,PR/0087-381475-00,Chanteloup les Vignes,13.24,0.06524708219518251
de 06:00:00 à 06:59:59,PR/0087-381194-BV,Chars,7.39,0.02892972436056617
de 06:00:00 à 06:59:59,PR/0087-381228-BV,Chaumont en Vexin,16.24,0.08387136826421653
de 06:00:00 à 06:59:59,PR/0087-381087-00,Colombes,163.81,1.0
de 06:00:00 à 06:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,7.55,0.02992301961758132
de 06:00:00 à 06:59:59,PR/0087-381897-BV,Conflans Ste Honorine,59.6,0.35305438291532154
de 06:00:00 à 06:59:59,PR/0087-381863-00,Cormeilles en Parisis,102.07,0.6167121926992798
de 06:00:00 à 06:59:59,PR/0087-534131-BV,Ermont Eaubonne,85.6,0.514464862180283
de 06:00:00 à 06:59:59,PR/0087-381566-00,Gargenville,5.29,0.015892724112242358
de 06:00:00 à 06:59:59,PR/0087-381244-00,Gisors,26.02,0.14458654084926742
de 06:00:00 à 06:59:59,PR/0087-381889-00,Herblay,82.87,0.49751676185746213
de 06:00:00 à 06:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,31.36,0.17773777005214797
de 06:00:00 à 06:59:59,PR/0087-381574-00,Issou Porcheville,2.73,0.0
de 06:00:00 à 06:59:59,PR/0087-381558-00,Juziers,4.23,0.00931214303451701
de 06:00:00 à 06:59:59,PR/0087-381871-00,La Frette Montigny,36.04,0.20679165631984103
de 06:00:00 à 06:59:59,PR/0087-381202-00,La Villetertre,6.0,0.02030047181524708
de 06:00:00 à 06:59:59,PR/0087-381095-00,Le Stade,66.57,0.39632480754904387
de 06:00:00 à 06:59:59,PR/0087-381798-00,Le Val d'Argenteuil,110.58,0.6695430841817729
de 06:00:00 à 06:59:59,PR/0087-386664-00,Les Clairières de Verneuil,21.79,0.11832629749192947
de 06:00:00 à 06:59:59,PR/0087-386680-BV,Les Mureaux,119.6,0.7255401042960019
de 06:00:00 à 06:59:59,PR/0087-381210-00,Liancourt St Pierre,7.0,0.02650856717159175
de 06:00:00 à 06:59:59,PR/0087-381582-BV,Limay,4.56,0.01136081450211075
de 06:00:00 à 06:59:59,PR/0087-381590-00,Mantes Station,7.72,0.030978395828159914
de 06:00:00 à 06:59:59,PR/0087-381509-BV,Mantes la Jolie,19.62,0.10485473056866153
de 06:00:00 à 06:59:59,PR/0087-381483-00,Maurecourt,21.29,0.11522224981375712
de 06:00:00 à 06:59:59,PR/0087-381830-BV,Meulan Hardricourt,6.47,0.023218276632729073
de 06:00:00 à 06:59:59,PR/0087-381160-00,Montgeroult Courcelles,8.25,0.03426868636702259
de 06:00:00 à 06:59:59,PR/0087-381145-00,Osny,14.55,0.07337968711199404
de 06:00:00 à 06:59:59,PR/0087-384008-00,Paris St Lazare,64.4,0.382853240625776
de 06:00:00 à 06:59:59,PR/0087-386573-BV,Poissy,68.89,0.41072758877576354
de 06:00:00 à 06:59:59,PR/0087-276139-BV,Pontoise,39.5,0.2282716662527936
de 06:00:00 à 06:59:59,PR/0087-276188-00,Sannois,97.5,0.5883411969207846
de 06:00:00 à 06:59:59,PR/0087-381186-00,Santeuil Le Perchay,4.44,0.01061584305934939
de 06:00:00 à 06:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,9.92,0.044636205612118195
de 06:00:00 à 06:59:59,PR/0087-381822-00,Thun le Paradis,6.43,0.02296995281847529
de 06:00:00 à 06:59:59,PR/0087-381236-00,Trie Château,4.31,0.009808790663024581
de 06:00:00 à 06:59:59,PR/0087-381806-00,Triel sur Seine,8.65,0.03675192450956046
de 06:00:00 à 06:59:59,PR/0087-381178-00,Us,12.75,0.06220511547057361
de 06:00:00 à 06:59:59,PR/0087-381814-00,Vaux sur Seine,6.12,0.021045443258008438
de 06:00:00 à 06:59:59,PR/0087-386656-BV,Vernouillet Verneuil,113.37,0.6868636702259747
de 06:00:00 à 06:59:59,PR/0087-386649-00,Villennes sur Seine,53.77,0.3168611869878321
de 06:00:00 à 06:59:59,PR/0087-386763-BV,Épône Mézières,49.35,0.28942140551278867
de 06:00:00 à 06:59:59,PR/0087-381418-BV,Éragny Neuville,15.62,0.08002234914328282
de 07:00:00 à 07:59:59,PR/0087-381491-00,Andrésy,15.34,0.07827922279471103
de 07:00:00 à 07:59:59,PR/0087-381848-BV,Argenteuil,136.23,0.8287292817679558
de 07:00:00 à 07:59:59,PR/0087-381137-BV,Asnières sur Seine,121.44,0.7369172512260227
de 07:00:00 à 07:59:59,PR/0087-386730-00,Aubergenville Élisabethville,77.98,0.4671301756781923
de 07:00:00 à 07:59:59,PR/0087-381079-BV,Bois Colombes,159.08,0.9705754547147558
de 07:00:00 à 07:59:59,PR/0087-381152-00,Boissy l'Aillerie,11.49,0.0543795393879198
de 07:00:00 à 07:59:59,PR/0087-381475-00,Chanteloup les Vignes,13.24,0.06524303184555218
de 07:00:00 à 07:59:59,PR/0087-381194-BV,Chars,7.39,0.02892792848718108
de 07:00:00 à 07:59:59,PR/0087-381228-BV,Chaumont en Vexin,16.24,0.08386616177292196
de 07:00:00 à 07:59:59,PR/0087-381087-00,Colombes,163.81,0.9999379229002421
de 07:00:00 à 07:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,7.55,0.029921162083307466
de 07:00:00 à 07:59:59,PR/0087-381897-BV,Conflans Ste Honorine,59.6,0.35303246632317337
de 07:00:00 à 07:59:59,PR/0087-381863-00,Cormeilles en Parisis,102.07,0.6166739089949718
de 07:00:00 à 07:59:59,PR/0087-534131-BV,Ermont Eaubonne,85.6,0.5144329256937116
de 07:00:00 à 07:59:59,PR/0087-381566-00,Gargenville,5.29,0.015891737538022227
de 07:00:00 à 07:59:59,PR/0087-381244-00,Gisors,26.02,0.14457756533614752
de 07:00:00 à 07:59:59,PR/0087-381889-00,Herblay,82.87,0.49748587745980505
de 07:00:00 à 07:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,81.58,0.4894779315910361
de 07:00:00 à 07:59:59,PR/0087-381574-00,Issou Porcheville,2.73,0.0
de 07:00:00 à 07:59:59,PR/0087-381558-00,Juziers,4.23,0.0093115649636849
de 07:00:00 à 07:59:59,PR/0087-381871-00,La Frette Montigny,36.04,0.20677881929356262
