tranche_horaire,ref,libelle_gare_montee,flux_enquete,flux_normalized
de 07:00:00 à 07:59:59,PR/0087-381202-00,La Villetertre,6.0,0.020299211620833077
de 07:00:00 à 07:59:59,PR/0087-381095-00,Le Stade,66.57,0.39630020485442913
de 07:00:00 à 07:59:59,PR/0087-381798-00,Le Val d'Argenteuil,110.58,0.6695015208889441
de 07:00:00 à 07:59:59,PR/0087-386664-00,Les Clairières de Verneuil,42.32,0.24576323794152338
de 07:00:00 à 07:59:59,PR/0087-386680-BV,Les Mureaux,163.82,1.0
de 07:00:00 à 07:59:59,PR/0087-381210-00,Liancourt St Pierre,7.0,0.026506921596623004
de 07:00:00 à 07:59:59,PR/0087-381582-BV,Limay,4.56,0.011360109255695573
de 07:00:00 à 07:59:59,PR/0087-381590-00,Mantes Station,11.48,0.054317462288161894
de 07:00:00 à 07:59:59,PR/0087-381509-BV,Mantes la Jolie,22.18,0.12073995902911415
de 07:00:00 à 07:59:59,PR/0087-381483-00,Maurecourt,21.29,0.11521509715066112
de 07:00:00 à 07:59:59,PR/0087-381830-BV,Meulan Hardricourt,6.47,0.023216835309454342
de 07:00:00 à 07:59:59,PR/0087-381160-00,Montgeroult Courcelles,8.25,0.03426655906636042
de 07:00:00 à 07:59:59,PR/0087-381145-00,Osny,14.55,0.07337513191383699
de 07:00:00 à 07:59:59,PR/0087-384008-00,Paris St Lazare,70.06,0.4179651126699361
de 07:00:00 à 07:59:59,PR/0087-386573-BV,Poissy,115.97,0.7029610776584518
de 07:00:00 à 07:59:59,PR/0087-276139-BV,Pontoise,39.5,0.22825749580979576
de 07:00:00 à 07:59:59,PR/0087-276188-00,Sannois,97.49,0.5882425973058539
de 07:00:00 à 07:59:59,PR/0087-381186-00,Santeuil Le Perchay,4.44,0.010615184058600784
de 07:00:00 à 07:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,9.92,0.04463343472592961
de 07:00:00 à 07:59:59,PR/0087-381822-00,Thun le Paradis,6.43,0.022968526910422747
de 07:00:00 à 07:59:59,PR/0087-381236-00,Trie Château,4.31,0.00980818176174809
de 07:00:00 à 07:59:59,PR/0087-381806-00,Triel sur Seine,8.65,0.0367496430566764
de 07:00:00 à 07:59:59,PR/0087-381178-00,Us,12.75,0.062201253957415104
de 07:00:00 à 07:59:59,PR/0087-381814-00,Vaux sur Seine,6.12,0.02104413681792787
de 07:00:00 à 07:59:59,PR/0087-386656-BV,Vernouillet Verneuil,130.81,0.7950834936991744
de 07:00:00 à 07:59:59,PR/0087-386649-00,Villennes sur Seine,62.08,0.3684275870631324
de 07:00:00 à 07:59:59,PR/0087-386763-BV,Épône Mézières,51.38,0.30200509032218015
de 07:00:00 à 07:59:59,PR/0087-381418-BV,Éragny Neuville,15.62,0.0800173815879322
de 08:00:00 à 08:59:59,PR/0087-381491-00,Andrésy,15.34,0.07828408244350632
de 08:00:00 à 08:59:59,PR/0087-381848-BV,Argenteuil,136.23,0.8287807300720138
de 08:00:00 à 08:59:59,PR/0087-381137-BV,Asnières sur Seine,121.44,0.736962999751676
de 08:00:00 à 08:59:59,PR/0087-386730-00,Aubergenville Élisabethville,48.82,0.28613111497392596
de 08:00:00 à 08:59:59,PR/0087-381079-BV,Bois Colombes,159.08,0.9706357089644897
de 08:00:00 à 08:59:59,PR/0087-381152-00,Boissy l'Aillerie,11.48,0.054320834368015894
de 08:00:00 à 08:59:59,PR/0087-381475-00,Chanteloup les Vignes,13.24,0.06524708219518251
de 08:00:00 à 08:59:59,PR/0087-381194-BV,Chars,7.39,0.02892972436056617
de 08:00:00 à 08:59:59,PR/0087-381228-BV,Chaumont en Vexin,16.24,0.08387136826421653
de 08:00:00 à 08:59:59,PR/0087-381087-00,Colombes,163.81,1.0
de 08:00:00 à 08:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,7.55,0.02992301961758132
de 08:00:00 à 08:59:59,PR/0087-381897-BV,Conflans Ste Honorine,59.6,0.35305438291532154
de 08:00:00 à 08:59:59,PR/0087-381863-00,Cormeilles en Parisis,102.07,0.6167121926992798
de 08:00:00 à 08:59:59,PR/0087-534131-BV,Ermont Eaubonne,85.6,0.514464862180283
de 08:00:00 à 08:59:59,PR/0087-381566-00,Gargenville,5.29,0.015892724112242358
de 08:00:00 à 08:59:59,PR/0087-381244-00,Gisors,26.02,0.14458654084926742
de 08:00:00 à 08:59:59,PR/0087-381889-00,Herblay,82.87,0.49751676185746213
de 08:00:00 à 08:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,81.66,0.49000496647628505
de 08:00:00 à 08:59:59,PR/0087-381574-00,Issou Porcheville,2.73,0.0
de 08:00:00 à 08:59:59,PR/0087-381558-00,Juziers,4.23,0.00931214303451701
de 08:00:00 à 08:59:59,PR/0087-381871-00,La Frette Montigny,36.04,0.20679165631984103
de 08:00:00 à 08:59:59,PR/0087-381202-00,La Villetertre,6.0,0.02030047181524708
de 08:00:00 à 08:59:59,PR/0087-381095-00,Le Stade,66.57,0.39632480754904387
de 08:00:00 à 08:59:59,PR/0087-381798-00,Le Val d'Argenteuil,110.58,0.6695430841817729
de 08:00:00 à 08:59:59,PR/0087-386664-00,Les Clairières de Verneuil,119.84,0.7270300471815248
de 08:00:00 à 08:59:59,PR/0087-386680-BV,Les Mureaux,162.81,0.9937919046436552
de 08:00:00 à 08:59:59,PR/0087-381210-00,Liancourt St Pierre,7.0,0.02650856717159175
de 08:00:00 à 08:59:59,PR/0087-381582-BV,Limay,4.56,0.01136081450211075
de 08:00:00 à 08:59:59,PR/0087-381590-00,Mantes Station,7.37,0.02880556245343928
de 08:00:00 à 08:59:59,PR/0087-381509-BV,Mantes la Jolie,20.47,0.11013161162155449
de 08:00:00 à 08:59:59,PR/0087-381483-00,Maurecourt,21.29,0.11522224981375712
de 08:00:00 à 08:59:59,PR/0087-381830-BV,Meulan Hardricourt,6.47,0.023218276632729073
de 08:00:00 à 08:59:59,PR/0087-381160-00,Montgeroult Courcelles,8.25,0.03426868636702259
de 08:00:00 à 08:59:59,PR/0087-381145-00,Osny,14.55,0.07337968711199404
de 08:00:00 à 08:59:59,PR/0087-384008-00,Paris St Lazare,64.89,0.38589520735038485
de 08:00:00 à 08:59:59,PR/0087-386573-BV,Poissy,148.76,0.9065681648870125
de 08:00:00 à 08:59:59,PR/0087-276139-BV,Pontoise,39.5,0.2282716662527936
de 08:00:00 à 08:59:59,PR/0087-276188-00,Sannois,97.49,0.5882791159672212
de 08:00:00 à 08:59:59,PR/0087-381186-00,Santeuil Le Perchay,4.44,0.01061584305934939
de 08:00:00 à 08:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,9.92,0.044636205612118195
de 08:00:00 à 08:59:59,PR/0087-381822-00,Thun le Paradis,6.43,0.02296995281847529
de 08:00:00 à 08:59:59,PR/0087-381236-00,Trie Château,4.31,0.009808790663024581
de 08:00:00 à 08:59:59,PR/0087-381806-00,Triel sur Seine,8.65,0.03675192450956046
de 08:00:00 à 08:59:59,PR/0087-381178-00,Us,12.75,0.06220511547057361
de 08:00:00 à 08:59:59,PR/0087-381814-00,Vaux sur Seine,6.12,0.021045443258008438
de 08:00:00 à 08:59:59,PR/0087-386656-BV,Vernouillet Verneuil,142.39,0.8670225974670969
de 08:00:00 à 08:59:59,PR/0087-386649-00,Villennes sur Seine,92.11,0.5548795629500869
de 08:00:00 à 08:59:59,PR/0087-386763-BV,Épône Mézières,53.9,0.3176682393841569
de 08:00:00 à 08:59:59,PR/0087-381418-BV,Éragny Neuville,15.62,0.08002234914328282
de 09:00:00 à 09:59:59,PR/0087-381491-00,Andrésy,15.34,0.07828408244350632
de 09:00:00 à 09:59:59,PR/0087-381848-BV,Argenteuil,136.23,0.8287807300720138
de 09:00:00 à 09:59:59,PR/0087-381137-BV,Asnières sur Seine,121.44,0.736962999751676
de 09:00:00 à 09:59:59,PR/0087-386730-00,Aubergenville Élisabethville,30.63,0.17320586044201636
de 09:00:00 à 09:59:59,PR/0087-381079-BV,Bois Colombes,159.08,0.9706357089644897
de 09:00:00 à 09:59:59,PR/0087-381152-00,Boissy l'Aillerie,11.49,0.054382915321579336
de 09:00:00 à 09:59:59,PR/0087-381475-00,Chanteloup les Vignes,13.24,0.06524708219518251
de 09:00:00 à 09:59:59,PR/0087-381194-BV,Chars,7.39,0.02892972436056617
de 09:00:00 à 09:59:59,PR/0087-381228-BV,Chaumont en Vexin,16.24,0.08387136826421653
de 09:00:00 à 09:59:59,PR/0087-381087-00,Colombes,163.81,1.0
de 09:00:00 à 09:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,7.55,0.02992301961758132
de 09:00:00 à 09:59:59,PR/0087-381897-BV,Conflans Ste Honorine,59.6,0.35305438291532154
de 09:00:00 à 09:59:59,PR/0087-381863-00,Cormeilles en Parisis,102.07,0.6167121926992798
de 09:00:00 à 09:59:59,PR/0087-534131-BV,Ermont Eaubonne,85.6,0.514464862180283
de 09:00:00 à 09:59:59,PR/0087-381566-00,Gargenville,5.28,0.015830643158678916
de 09:00:00 à 09:59:59,PR/0087-381244-00,Gisors,26.02,0.14458654084926742
de 09:00:00 à 09:59:59,PR/0087-381889-00,Herblay,82.87,0.49751676185746213
de 09:00:00 à 09:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,41.13,0.23839086168363544
de 09:00:00 à 09:59:59,PR/0087-381574-00,Issou Porcheville,2.73,0.0
de 09:00:00 à 09:59:59,PR/0087-381558-00,Juziers,4.23,0.00931214303451701
de 09:00:00 à 09:59:59,PR/0087-381871-00,La Frette Montigny,36.04,0.20679165631984103
de 09:00:00 à 09:59:59,PR/0087-381202-00,La Villetertre,6.0,0.02030047181524708
de 09:00:00 à 09:59:59,PR/0087-381095-00,Le Stade,66.57,0.39632480754904387
de 09:00:00 à 09:59:59,PR/0087-381798-00,Le Val d'Argenteuil,110.58,0.6695430841817729
de 09:00:00 à 09:59:59,PR/0087-386664-00,Les Clairières de Verneuil,48.42,0.2836478768313881
de 09:00:00 à 09:59:59,PR/0087-386680-BV,Les Mureaux,70.73,0.42215048423143775
de 09:00:00 à 09:59:59,PR/0087-381210-00,Liancourt St Pierre,7.0,0.02650856717159175
de 09:00:00 à 09:59:59,PR/0087-381582-BV,Limay,4.56,0.01136081450211075
de 09:00:00 à 09:59:59,PR/0087-381590-00,Mantes Station,6.18,0.02141792897938912
de 09:00:00 à 09:59:59,PR/0087-381509-BV,Mantes la Jolie,14.18,0.0710826918301465
de 09:00:00 à 09:59:59,PR/0087-381483-00,Maurecourt,21.29,0.11522224981375712
de 09:00:00 à 09:59:59,PR/0087-381830-BV,Meulan Hardricourt,6.47,0.023218276632729073
de 09:00:00 à 09:59:59,PR/0087-381160-00,Montgeroult Courcelles,8.25,0.03426868636702259
de 09:00:00 à 09:59:59,PR/0087-381145-00,Osny,14.55,0.07337968711199404
de 09:00:00 à 09:59:59,PR/0087-384008-00,Paris St Lazare,63.19,0.3753414452445989
de 09:00:00 à 09:59:59,PR/0087-386573-BV,Poissy,63.78,0.37900422150484225
de 09:00:00 à 09:59:59,PR/0087-276139-BV,Pontoise,39.5,0.2282716662527936
de 09:00:00 à 09:59:59,PR/0087-276188-00,Sannois,97.5,0.5883411969207846
de 09:00:00 à 09:59:59,PR/0087-381186-00,Santeuil Le Perchay,4.44,0.01061584305934939
de 09:00:00 à 09:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,9.92,0.044636205612118195
de 09:00:00 à 09:59:59,PR/0087-381822-00,Thun le Paradis,6.43,0.02296995281847529
de 09:00:00 à 09:59:59,PR/0087-381236-00,Trie Château,4.31,0.009808790663024581
de 09:00:00 à 09:59:59,PR/0087-381806-00,Triel sur Seine,8.65,0.03675192450956046
de 09:00:00 à 09:59:59,PR/0087-381178-00,Us,12.75,0.06220511547057361
de 09:00:00 à 09:59:59,PR/0087-381814-00,Vaux sur Seine,6.12,0.021045443258008438
de 09:00:00 à 09:59:59,PR/0087-386656-BV,Vernouillet Verneuil,101.56,0.6135460640675441
de 09:00:00 à 09:59:59,PR/0087-386649-00,Villennes sur Seine,48.39,0.28346163397069774
de 09:00:00 à 09:59:59,PR/0087-386763-BV,Épône Mézières,35.18,0.20145269431338464
de 09:00:00 à 09:59:59,PR/0087-381418-BV,Éragny Neuville,15.62,0.08002234914328282
de 10:00:00 à 10:59:59,PR/0087-381491-00,Andrésy,4.03,0.049616066154754876
de 10:00:00 à 10:59:59,PR/0087-381848-BV,Argenteuil,36.02,0.5220023626698169
de 10:00:00 à 10:59:59,PR/0087-381137-BV,Asnières sur Seine,39.5,0.5733904311872415
de 10:00:00 à 10:59:59,PR/0087-386730-00,Aubergenville Élisabethville,41.18,0.598198464264619
de 10:00:00 à 10:59:59,PR/0087-381079-BV,Bois Colombes,47.89,0.6972829297105729
de 10:00:00 à 10:59:59,PR/0087-381152-00,Boissy l'Aillerie,1.31,0.009450679267572357
de 10:00:00 à 10:59:59,PR/0087-381475-00,Chanteloup les Vignes,5.93,0.0776727702303603
de 10:00:00 à 10:59:59,PR/0087-381194-BV,Chars,1.39,0.0106320141760189
de 10:00:00 à 10:59:59,PR/0087-381228-BV,Chaumont en Vexin,0.67,0.0
de 10:00:00 à 10:59:59,PR/0087-381087-00,Colombes,61.03,0.891317188422918
de 10:00:00 à 10:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,3.49,0.041642055522740695
de 10:00:00 à 10:59:59,PR/0087-381897-BV,Conflans Ste Honorine,12.49,0.17454223272297698
de 10:00:00 à 10:59:59,PR/0087-381863-00,Cormeilles en Parisis,18.97,0.2702303603071471
de 10:00:00 à 10:59:59,PR/0087-534131-BV,Ermont Eaubonne,28.8,0.41538688718251626
de 10:00:00 à 10:59:59,PR/0087-381566-00,Gargenville,1.46,0.011665682220909628
de 10:00:00 à 10:59:59,PR/0087-381244-00,Gisors,1.96,0.01904902539870053
de 10:00:00 à 10:59:59,PR/0087-381889-00,Herblay,26.5,0.3814235085646781
de 10:00:00 à 10:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,16.35,0.23154164205552277
de 10:00:00 à 10:59:59,PR/0087-381574-00,Issou Porcheville,2.11,0.021264028352037802
de 10:00:00 à 10:59:59,PR/0087-381558-00,Juziers,1.7,0.015209686946249263
de 10:00:00 à 10:59:59,PR/0087-381871-00,La Frette Montigny,6.69,0.08889545186060249
de 10:00:00 à 10:59:59,PR/0087-381095-00,Le Stade,41.22,0.5987891317188423
de 10:00:00 à 10:59:59,PR/0087-381798-00,Le Val d'Argenteuil,35.23,0.5103366804489072
de 10:00:00 à 10:59:59,PR/0087-386664-00,Les Clairières de Verneuil,16.0,0.22637330183106913
de 10:00:00 à 10:59:59,PR/0087-386680-BV,Les Mureaux,68.39,1.0
de 10:00:00 à 10:59:59,PR/0087-381210-00,Liancourt St Pierre,2.17,0.022150029533372712
de 10:00:00 à 10:59:59,PR/0087-381582-BV,Limay,5.6,0.0727997637330183
de 10:00:00 à 10:59:59,PR/0087-381590-00,Mantes Station,7.06,0.09435912581216774
de 10:00:00 à 10:59:59,PR/0087-381509-BV,Mantes la Jolie,9.97,0.13733018310691084
de 10:00:00 à 10:59:59,PR/0087-381483-00,Maurecourt,4.72,0.05980507974010632
de 10:00:00 à 10:59:59,PR/0087-381830-BV,Meulan Hardricourt,2.56,0.027909037212049615
de 10:00:00 à 10:59:59,PR/0087-381145-00,Osny,2.56,0.027909037212049615
de 10:00:00 à 10:59:59,PR/0087-384008-00,Paris St Lazare,52.99,0.7725930301240402
de 10:00:00 à 10:59:59,PR/0087-386573-BV,Poissy,54.43,0.7938570584760779
de 10:00:00 à 10:59:59,PR/0087-276139-BV,Pontoise,7.77,0.10484347312463083
de 10:00:00 à 10:59:59,PR/0087-276188-00,Sannois,19.5,0.27805670407560545
de 10:00:00 à 10:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,2.51,0.027170702894270527
de 10:00:00 à 10:59:59,PR/0087-381822-00,Thun le Paradis,1.8,0.016686355581807442
de 10:00:00 à 10:59:59,PR/0087-381236-00,Trie Château,1.25,0.00856467808623745
de 10:00:00 à 10:59:59,PR/0087-381806-00,Triel sur Seine,3.77,0.04577672770230361
de 10:00:00 à 10:59:59,PR/0087-381814-00,Vaux sur Seine,1.17,0.007383343177790904
de 10:00:00 à 10:59:59,PR/0087-386656-BV,Vernouillet Verneuil,36.75,0.5327820437093916
de 10:00:00 à 10:59:59,PR/0087-386649-00,Villennes sur Seine,28.13,0.40549320732427646
de 10:00:00 à 10:59:59,PR/0087-386763-BV,Épône Mézières,13.04,0.18266391021854697
de 10:00:00 à 10:59:59,PR/0087-381418-BV,Éragny Neuville,2.66,0.029385705847607798
de 11:00:00 à 11:59:59,PR/0087-381491-00,Andrésy,4.03,0.04015296367112811
de 11:00:00 à 11:59:59,PR/0087-381848-BV,Argenteuil,36.02,0.42244263862332704
de 11:00:00 à 11:59:59,PR/0087-381137-BV,Asnières sur Seine,39.5,0.46402963671128117
de 11:00:00 à 11:59:59,PR/0087-386730-00,Aubergenville Élisabethville,14.25,0.1622848948374761
de 11:00:00 à 11:59:59,PR/0087-381079-BV,Bois Colombes,47.89,0.5642925430210325
de 11:00:00 à 11:59:59,PR/0087-381152-00,Boissy l'Aillerie,1.31,0.007648183556405355
de 11:00:00 à 11:59:59,PR/0087-381475-00,Chanteloup les Vignes,5.93,0.06285850860420651
de 11:00:00 à 11:59:59,PR/0087-381194-BV,Chars,1.39,0.008604206500956023
de 11:00:00 à 11:59:59,PR/0087-381228-BV,Chaumont en Vexin,0.67,0.0
de 11:00:00 à 11:59:59,PR/0087-381087-00,Colombes,61.03,0.72131931166348
de 11:00:00 à 11:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,3.49,0.033699808795411096
de 11:00:00 à 11:59:59,PR/0087-381897-BV,Conflans Ste Honorine,12.49,0.14125239005736137
de 11:00:00 à 11:59:59,PR/0087-381863-00,Cormeilles en Parisis,18.97,0.21869024856596558
de 11:00:00 à 11:59:59,PR/0087-534131-BV,Ermont Eaubonne,28.8,0.33616156787762913
de 11:00:00 à 11:59:59,PR/0087-381566-00,Gargenville,1.46,0.009440726577437858
de 11:00:00 à 11:59:59,PR/0087-381244-00,Gisors,1.96,0.015415869980879543
de 11:00:00 à 11:59:59,PR/0087-381889-00,Herblay,26.5,0.30867590822179736
de 11:00:00 à 11:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,11.98,0.13515774378585088
de 11:00:00 à 11:59:59,PR/0087-381574-00,Issou Porcheville,2.11,0.017208413001912046
de 11:00:00 à 11:59:59,PR/0087-381558-00,Juziers,1.7,0.012308795411089868
de 11:00:00 à 11:59:59,PR/0087-381871-00,La Frette Montigny,6.69,0.07194072657743787
de 11:00:00 à 11:59:59,PR/0087-381095-00,Le Stade,41.22,0.48458413001912054
de 11:00:00 à 11:59:59,PR/0087-381798-00,Le Val d'Argenteuil,35.23,0.41300191204588915
de 11:00:00 à 11:59:59,PR/0087-386664-00,Les Clairières de Verneuil,7.11,0.07695984703632888
de 11:00:00 à 11:59:59,PR/0087-386680-BV,Les Mureaux,84.35,1.0
de 11:00:00 à 11:59:59,PR/0087-381210-00,Liancourt St Pierre,2.17,0.017925430210325048
de 11:00:00 à 11:59:59,PR/0087-381582-BV,Limay,5.6,0.058914913957934995
de 11:00:00 à 11:59:59,PR/0087-381590-00,Mantes Station,3.87,0.038240917782026776
de 11:00:00 à 11:59:59,PR/0087-381509-BV,Mantes la Jolie,17.08,0.196104206500956
de 11:00:00 à 11:59:59,PR/0087-381483-00,Maurecourt,4.72,0.04839866156787763
de 11:00:00 à 11:59:59,PR/0087-381830-BV,Meulan Hardricourt,2.56,0.022586042065009564
de 11:00:00 à 11:59:59,PR/0087-381145-00,Osny,2.56,0.022586042065009564
de 11:00:00 à 11:59:59,PR/0087-384008-00,Paris St Lazare,52.31,0.617112810707457
de 11:00:00 à 11:59:59,PR/0087-386573-BV,Poissy,37.1,0.43534894837476107
de 11:00:00 à 11:59:59,PR/0087-276139-BV,Pontoise,7.77,0.0848470363288719
de 11:00:00 à 11:59:59,PR/0087-276188-00,Sannois,19.5,0.2250239005736138
de 11:00:00 à 11:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,2.51,0.02198852772466539
de 11:00:00 à 11:59:59,PR/0087-381822-00,Thun le Paradis,1.8,0.013503824091778204
de 11:00:00 à 11:59:59,PR/0087-381236-00,Trie Château,1.25,0.006931166347992353
de 11:00:00 à 11:59:59,PR/0087-381806-00,Triel sur Seine,3.77,0.037045889101338436
de 11:00:00 à 11:59:59,PR/0087-381814-00,Vaux sur Seine,1.17,0.005975143403441682
de 11:00:00 à 11:59:59,PR/0087-386656-BV,Vernouillet Verneuil,27.92,0.32564531548757175
de 11:00:00 à 11:59:59,PR/0087-386649-00,Villennes sur Seine,24.88,0.2893164435946463
de 11:00:00 à 11:59:59,PR/0087-386763-BV,Épône Mézières,7.57,0.08245697896749524
de 11:00:00 à 11:59:59,PR/0087-381418-BV,Éragny Neuville,2.66,0.023781070745697897
de 12:00:00 à 12:59:59,PR/0087-381491-00,Andrésy,4.03,0.055666003976143144
de 12:00:00 à 12:59:59,PR/0087-381848-BV,Argenteuil,36.02,0.5856527501656726
